File,digit,Speaker,Index,Pathing,mfcc,mfcc path
0_george_0.wav,0,george,0,free-spoken-digit-dataset/recordings/0_george_0.wav,0_george_0.wav.png,mfcc/0_george_0.wav.png
0_george_1.wav,0,george,1,free-spoken-digit-dataset/recordings/0_george_1.wav,0_george_1.wav.png,mfcc/0_george_1.wav.png
0_george_10.wav,0,george,10,free-spoken-digit-dataset/recordings/0_george_10.wav,0_george_10.wav.png,mfcc/0_george_10.wav.png
0_george_11.wav,0,george,11,free-spoken-digit-dataset/recordings/0_george_11.wav,0_george_11.wav.png,mfcc/0_george_11.wav.png
0_george_12.wav,0,george,12,free-spoken-digit-dataset/recordings/0_george_12.wav,0_george_12.wav.png,mfcc/0_george_12.wav.png
0_george_13.wav,0,george,13,free-spoken-digit-dataset/recordings/0_george_13.wav,0_george_13.wav.png,mfcc/0_george_13.wav.png
0_george_14.wav,0,george,14,free-spoken-digit-dataset/recordings/0_george_14.wav,0_george_14.wav.png,mfcc/0_george_14.wav.png
0_george_15.wav,0,george,15,free-spoken-digit-dataset/recordings/0_george_15.wav,0_george_15.wav.png,mfcc/0_george_15.wav.png
0_george_16.wav,0,george,16,free-spoken-digit-dataset/recordings/0_george_16.wav,0_george_16.wav.png,mfcc/0_george_16.wav.png
0_george_17.wav,0,george,17,free-spoken-digit-dataset/recordings/0_george_17.wav,0_george_17.wav.png,mfcc/0_george_17.wav.png
0_george_18.wav,0,george,18,free-spoken-digit-dataset/recordings/0_george_18.wav,0_george_18.wav.png,mfcc/0_george_18.wav.png
0_george_19.wav,0,george,19,free-spoken-digit-dataset/recordings/0_george_19.wav,0_george_19.wav.png,mfcc/0_george_19.wav.png
0_george_2.wav,0,george,2,free-spoken-digit-dataset/recordings/0_george_2.wav,0_george_2.wav.png,mfcc/0_george_2.wav.png
0_george_20.wav,0,george,20,free-spoken-digit-dataset/recordings/0_george_20.wav,0_george_20.wav.png,mfcc/0_george_20.wav.png
